GameTitle,MaxHistoricalPeak,AdaptReleasePeak,AdaptReleaseAbsoluteGrowth,AdaptReleasePercentualGrowth,PreviousYearPeak,PreviousYearAbsoluteGrowth,PreviousYearPercentualGrowth,NextMonthPeak,NextMonthAbsoluteGrowth,NextMonthPercentualGrowth,NextMonthPreviousYearPeak,NextMonthPreviousYearAbsoluteGrowth,NextMonthPreviousYearPercentualGrowth,Franchise,Type,AdaptTitle,ReleaseDate,Rating,NumVotes(k)
Halo Infinite,272586,15961,-15928.0,-49.9,,,,10402,-5559.0,-34.8,,,,Halo,Show,Halo - S01,2022-03-01,7.2,57.7
Halo Infinite,272586,11955,-1990.0,-14.3,6857,-795.0,-10.4,8739,-3216.0,-26.9,12705,5848.0,85.3,Halo,Show,Halo - S02,2024-02-01,7.7,28.0
Halo The Master Chief Collection,161024,5265,-2214.0,-29.6,11621,-2194.0,-15.9,10007,4742.0,90.1,20741,9120.0,78.5,Halo,Show,Halo - S01,2022-03-01,7.2,57.7
Halo The Master Chief Collection,161024,10832,2108.0,24.2,6362,-621.0,-8.9,10426,-406.0,-3.7,6246,-116.0,-1.8,Halo,Show,Halo - S02,2024-02-01,7.7,28.0
Fallout 4,471955,187468,161766.0,629.4,22566,-901.0,-3.8,168038,-19430.0,-10.4,20339,-2227.0,-9.9,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout,8130,3951,3591.0,997.5,186,-51.0,-21.5,2456,-1495.0,-37.8,203,17.0,9.1,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout 4 VR,2664,659,523.0,384.6,105,-8.0,-7.1,473,-186.0,-28.2,91,-14.0,-13.3,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout 2,656,2302,1940.0,535.9,266,6.0,2.3,2146,-156.0,-6.8,283,17.0,6.4,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout 3 - Game of the Year Edition,10400,11471,10165.0,778.3,899,-72.0,-7.4,7551,-3920.0,-34.2,852,-47.0,-5.2,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout 3,2652,1273,1089.0,591.8,131,-18.0,-12.1,954,-319.0,-25.1,135,4.0,3.1,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout Tactics,221,243,178.0,273.8,48,-1.0,-2.0,200,-43.0,-17.7,57,9.0,18.8,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout 76,32982,73368,60633.0,476.1,14213,-518.0,-3.5,60763,-12605.0,-17.2,9843,-4370.0,-30.7,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout Shelter,42549,8396,6337.0,307.8,1953,136.0,7.5,6922,-1474.0,-17.6,1822,-131.0,-6.7,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Fallout New Vegas,51038,45134,38507.0,581.1,6444,119.0,1.9,40929,-4205.0,-9.3,7026,582.0,9.0,Fallout,Show,Fallout - S01,2024-04-01,8.3,113.0
Cyberpunk 2077,1054388,136724,117889.0,625.9,19772,-1771.0,-8.2,118298,-18426.0,-13.5,16250,-3522.0,-17.8,Cyberpunk,Show,Cyberpunk: Edgerunners - S01,2022-09-01,8.4,57.3
Assassins Creed Unity,5438,2078,258.0,14.2,1258,174.0,16.1,1951,-127.0,-6.1,1111,-147.0,-11.7,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed,1468,714,371.0,108.2,330,14.0,4.4,729,15.0,2.1,336,6.0,1.8,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Liberation,1174,60,17.0,39.5,70,1.0,1.4,62,2.0,3.3,73,3.0,4.3,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed II,3617,1606,512.0,46.8,861,103.0,13.6,1574,-32.0,-2.0,921,60.0,7.0,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Rogue,2361,995,393.0,65.3,1207,212.0,21.3,969,-26.0,-2.6,1022,-185.0,-15.3,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed IV Black Flag,16049,3003,956.0,46.7,3967,129.0,3.4,3138,135.0,4.5,3447,-520.0,-13.1,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Chronicles India,130,19,3.0,18.8,130,,,22,3.0,15.8,63,-67.0,-51.5,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Revelations,3105,642,266.0,70.7,324,-28.0,-8.0,660,18.0,2.8,357,33.0,10.2,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Chronicles Russia,54,21,10.0,90.9,,,,16,-5.0,-23.8,54,,,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Brotherhood,3848,803,285.0,55.0,451,-28.0,-5.8,832,29.0,3.6,502,51.0,11.3,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Chronicles China,590,68,19.0,38.8,46,21.0,84.0,55,-13.0,-19.1,55,9.0,19.6,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Freedom Cry,444,54,18.0,50.0,55,-8.0,-12.7,55,1.0,1.9,46,-9.0,-16.4,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
Assassins Creed Syndicate,4728,2065,317.0,18.1,3140,-1588.0,-33.6,1995,-70.0,-3.4,3392,252.0,8.0,Assassin's Creed,Movie,Assassin's Creed,2016-12-01,5.6,215.0
